<j4> form factors for 4d atoms and ions							
Ion	A	a	B	b	C	c	D
Y0	-8.0767	32.2014	7.9197	25.1563	1.4067	6.8268	-0.0001
Zr0	-5.2697	32.868	4.193	24.1833	1.5202	6.0481	-0.0002
Zr1	-5.6384	33.6071	4.6729	22.3383	1.3258	5.9245	-0.0003
Nb0	-3.1377	25.5948	2.3411	16.5686	1.2304	4.9903	-0.0005
Nb1	-3.3598	25.8202	2.8297	16.4273	1.1203	4.9824	-0.0005
Mo0	-2.886	20.5717	1.813	14.6281	1.1899	4.2638	-0.0008
Mo1	-3.2618	25.4862	2.3596	16.4622	1.1164	4.4913	-0.0007
Tc0	-2.7975	20.1589	1.652	16.2609	1.1726	3.9427	-0.0008
Tc1	-2.047	19.683	1.6306	11.5925	0.8698	3.7689	-0.001
Ru0	-1.5042	17.9489	0.6027	9.9608	0.97	3.3927	-0.001
Ru1	-1.6278	18.5063	1.1828	10.1886	0.8138	3.418	-0.0009
Rh0	-1.3492	17.5766	0.4527	10.5066	0.9285	3.1555	-0.0009
Rh1	-1.4673	17.9572	0.7381	9.9444	0.8485	3.1263	-0.0012
Pd0	-1.1955	17.6282	0.3183	11.3094	0.8696	2.9089	-0.0006
Pd1	-1.4098	17.765	0.7927	9.9991	0.771	2.9297	-0.0006
