<j0> form factors for 4d atoms and ions							
Ion	A	a	B	b	C	c	D
Y0	0.5915	67.6081	1.5123	17.9004	-1.113	14.1359	0.008
Zr0	0.4106	59.9961	1.0543	18.6476	-0.4751	10.54	0.0106
Zr1	0.4532	59.5948	0.7834	21.4357	-0.2451	9.036	0.0098
Nb0	0.3946	49.2297	1.3197	14.8216	-0.7269	9.6156	0.0129
Nb1	0.4572	49.9182	1.0274	15.7256	-0.4962	9.1573	0.0118
Mo0	0.1806	49.0568	1.2306	14.7859	-0.4268	6.9866	0.0171
Mo1	0.35	48.0354	1.0305	15.0604	-0.3929	7.479	0.0139
Tc0	0.1298	49.6611	1.1656	14.1307	-0.3134	5.5129	0.0195
Tc1	0.2674	48.9566	0.9569	15.1413	-0.2387	5.4578	0.016
Ru0	0.1069	49.4238	1.1912	12.7417	-0.3176	4.9125	0.0213
Ru1	0.441	33.3086	1.4775	9.5531	-0.9361	6.722	0.0176
Rh0	0.0976	49.8825	1.1601	11.8307	-0.2789	4.1266	0.0234
Rh1	0.3342	29.7564	1.2209	9.4384	-0.5755	5.332	0.021
Pd0	0.2003	29.3633	1.1446	9.5993	-0.3689	4.0423	0.0251
Pd1	0.5033	24.5037	1.9982	6.9082	-1.524	5.5133	0.0213
