<j4> form factors for 3d atoms and ions							
Ion	A	a	B	b	C	c	D
Sc0	1.342	10.2	0.3837	3.0786	0.0468	0.1178	-0.0328
Sc1	7.1167	15.4872	-6.6671	18.2692	0.49	2.9917	0.0047
Sc2	-1.6684	15.6475	1.7742	9.0624	0.4075	2.4116	0.0042
Ti0	-2.1515	11.2705	2.5149	8.859	0.3555	2.1491	0.0045
Ti1	-1.0383	16.1899	1.4699	8.9239	0.3631	2.2834	0.0044
Ti2	-1.3242	15.3096	1.2042	7.8994	0.3976	2.1562	0.0051
Ti3	-1.1117	14.6349	0.7689	6.9267	0.4385	2.0886	0.006
V0	-0.9633	15.2729	0.9274	7.7315	0.3891	2.053	0.0063
V1	-0.9606	15.5451	1.1278	8.1182	0.3653	2.0973	0.0056
V2	-1.1729	14.9732	0.9092	7.6131	0.4105	2.0391	0.0067
V3	-0.9417	14.2045	0.5284	6.6071	0.4411	1.9672	0.0076
V4	-0.7654	13.097	0.3071	5.6739	0.4476	1.8707	0.0081
Cr0	-0.667	19.6128	0.5342	6.4779	0.3641	1.9045	0.0073
Cr1	-0.8309	18.0428	0.7252	7.5313	0.3828	2.0032	0.0073
Cr2	-0.893	15.6641	0.559	7.0333	0.4093	1.9237	0.0081
Cr3	-0.7327	14.0727	0.3268	5.6741	0.4114	1.8101	0.0085
Cr4	-0.6748	12.9462	0.1805	6.7527	0.4526	1.7999	0.0098
Mn0	-0.5452	15.4713	0.4406	4.9024	0.2884	1.543	0.0059
Mn1	-0.7947	17.8673	0.6078	7.7044	0.3798	1.9045	0.0087
Mn2	-0.7416	15.2555	0.3831	6.4693	0.3935	1.7997	0.0093
Mn3	-0.6603	13.6066	0.2322	6.2175	0.4104	1.7404	0.0101
Mn4	-0.5127	13.4613	0.0313	7.7631	0.4282	1.7006	0.0113
Fe0	-0.5029	19.6768	0.2999	3.7762	0.2576	1.4241	0.0071
Fe1	-0.5109	19.2501	0.3896	4.8913	0.281	1.5265	0.0069
Fe2	-0.5401	17.2268	0.2865	3.7422	0.2658	1.4238	0.0076
Fe3	-0.5507	11.4929	0.2153	4.9063	0.3468	1.523	0.0095
Fe4	-0.5352	9.5068	0.1783	5.175	0.3584	1.4689	0.0097
Co0	-0.4221	14.1952	0.29	3.9786	0.2469	1.2859	0.0063
Co1	-0.4115	14.5615	0.358	4.717	0.2644	1.4183	0.0074
Co2	-0.4759	14.0462	0.2747	3.7306	0.2458	1.2504	0.0057
Co3	-0.4466	13.3912	0.1419	3.011	0.2773	1.3351	0.0093
Co4	-0.4091	13.1937	-0.0194	3.4169	0.3534	1.4214	0.0112
Ni0	-0.4428	14.485	0.087	3.2345	0.2932	1.3305	0.0096
Ni1	-0.3836	13.4246	0.3116	4.4619	0.2471	1.3088	0.0079
Ni2	-0.3803	10.4033	0.2838	3.378	0.2108	1.1036	0.005
Ni3	-0.3715	8.9516	0.1211	2.9399	0.2526	1.1049	0.0061
Ni4	-0.3509	8.1572	0.222	2.1063	0.1567	0.9253	0.0065
Cu0	-0.3204	15.1324	0.2335	4.0205	0.2312	1.1957	0.0068
Cu1	-0.3572	15.1251	0.2336	3.9662	0.2315	1.1967	0.007
Cu2	-0.3914	14.74	0.1275	3.384	0.2548	1.2552	0.0103
Cu3	-0.3671	14.0816	-0.0078	3.3149	0.3154	1.3767	0.0132
Cu4	-0.2915	14.1243	-0.1065	4.2008	0.3247	1.3516	0.0148
