<j0> form factors for rare earth ions							
Ion	A	a	B	b	C	c	D
Ce2	0.2953	17.6846	0.2923	6.7329	0.4313	5.3827	-0.0194
Nd2	0.1645	25.0453	0.2522	11.9782	0.6012	4.9461	-0.018
Nd3	0.054	25.0293	0.3101	12.102	0.6575	4.7223	-0.0216
Sm2	0.0909	25.2032	0.3037	11.8562	0.625	4.2366	-0.02
Sm3	0.0288	25.2068	0.2973	11.8311	0.6954	4.2117	-0.0213
Eu2	0.0755	25.296	0.3001	11.5993	0.6438	4.0252	-0.0196
Eu3	0.0204	25.3078	0.301	11.4744	0.7005	3.942	-0.022
Gd2	0.0636	25.3823	0.3033	11.2125	0.6528	3.7877	-0.0199
Gd3	0.0186	25.3867	0.2895	11.1421	0.7135	3.752	-0.0217
Tb2	0.0547	25.5086	0.3171	10.5911	0.649	3.5171	-0.0212
Tb3	0.0177	25.5095	0.2921	10.5769	0.7133	3.5122	-0.0231
Dy2	0.1308	18.3155	0.3118	7.6645	0.5795	3.1469	-0.0226
Dy3	0.1157	15.0732	0.327	6.7991	0.5821	3.0202	-0.0249
Ho2	0.0995	18.1761	0.3305	7.8556	0.5921	2.9799	-0.023
Ho3	0.0566	18.3176	0.3365	7.688	0.6317	2.9427	-0.0248
Er2	0.1122	18.1223	0.3462	6.9106	0.5649	2.7614	-0.0235
Er3	0.0586	17.9802	0.354	7.0964	0.6126	2.7482	-0.0251
Tm2	0.0983	18.3236	0.338	6.9178	0.5875	2.6622	-0.0241
Tm3	0.0581	15.0922	0.2787	7.8015	0.6854	2.7931	-0.0224
Yb2	0.0855	18.5123	0.2943	7.3734	0.6412	2.6777	-0.0213
Yb3	0.0416	16.0949	0.2849	7.8341	0.6961	2.6725	-0.0229
Pr3	0.0504	24.9989	0.2572	12.0377	0.7142	5.0039	-0.0219
